nr,date,total_1,total_2,truck_1,truck_2,name,land,type,roadid,lat,lng
304,1451869200,39,50,2,2,Von der Heydt,SL,A,1,49.27113733,6.96139813
304,1451872800,27,29,2,4,Von der Heydt,SL,A,1,49.27113733,6.96139813
304,1451865600,103,60,2,2,Von der Heydt,SL,A,1,49.27113733,6.96139813
304,1451876400,19,28,3,3,Von der Heydt,SL,A,1,49.27113733,6.96139813
304,1451880000,29,34,4,4,Von der Heydt,SL,A,1,49.27113733,6.96139813
304,1451883600,46,182,7,6,Von der Heydt,SL,A,1,49.27113733,6.96139813
304,1451887200,142,535,10,9,Von der Heydt,SL,A,1,49.27113733,6.96139813
304,1451890800,312,1130,22,21,Von der Heydt,SL,A,1,49.27113733,6.96139813
304,1451894400,457,1243,17,27,Von der Heydt,SL,A,1,49.27113733,6.96139813
304,1451898000,362,815,23,20,Von der Heydt,SL,A,1,49.27113733,6.96139813
304,1451901600,350,653,20,24,Von der Heydt,SL,A,1,49.27113733,6.96139813
304,1451905200,421,545,22,27,Von der Heydt,SL,A,1,49.27113733,6.96139813
304,1451908800,482,548,21,23,Von der Heydt,SL,A,1,49.27113733,6.96139813
304,1451923200,1022,520,17,24,Von der Heydt,SL,A,1,49.27113733,6.96139813
304,1451926800,1300,550,17,21,Von der Heydt,SL,A,1,49.27113733,6.96139813
304,1451930400,1091,509,8,16,Von der Heydt,SL,A,1,49.27113733,6.96139813
304,1451934000,763,391,7,11,Von der Heydt,SL,A,1,49.27113733,6.96139813
304,1451937600,483,331,6,7,Von der Heydt,SL,A,1,49.27113733,6.96139813
304,1451941200,359,252,5,6,Von der Heydt,SL,A,1,49.27113733,6.96139813
304,1451912400,600,595,18,21,Von der Heydt,SL,A,1,49.27113733,6.96139813
304,1451916000,732,590,20,25,Von der Heydt,SL,A,1,49.27113733,6.96139813
304,1451919600,922,527,19,25,Von der Heydt,SL,A,1,49.27113733,6.96139813
304,1451944800,272,198,3,6,Von der Heydt,SL,A,1,49.27113733,6.96139813
304,1451948400,342,104,3,4,Von der Heydt,SL,A,1,49.27113733,6.96139813
304,1451952000,112,64,3,3,Von der Heydt,SL,A,1,49.27113733,6.96139813
304,1451955600,39,32,3,2,Von der Heydt,SL,A,1,49.27113733,6.96139813
304,1451959200,32,39,2,4,Von der Heydt,SL,A,1,49.27113733,6.96139813
304,1451973600,147,556,10,12,Von der Heydt,SL,A,1,49.27113733,6.96139813
304,1451977200,373,1093,23,24,Von der Heydt,SL,A,1,49.27113733,6.96139813
